,state_code,state_name,district_name,district_code,Dist2011,num_blocks
118,11,GUJARAT,PANCH MAHALS,1114,484,7
119,11,GUJARAT,PATAN,1120,470,7
120,11,GUJARAT,PORBANDAR,1121,478,3
121,11,GUJARAT,RAJKOT,1102,476,10
122,11,GUJARAT,SABAR KANTHA,1109,472,7
123,11,GUJARAT,SURAT,1117,492,9
124,11,GUJARAT,SURENDRANAGAR,1103,475,9
125,11,GUJARAT,TAPI,1126,493,5
126,11,GUJARAT,VADODARA,1115,486,7
127,11,GUJARAT,VALSAD,1118,491,5
128,12,HARYANA,AMBALA,1201,70,6
129,12,HARYANA,BHIWANI,1213,81,10
130,12,HARYANA,FARIDABAD,1209,88,2
131,12,HARYANA,FATEHABAD,1218,78,6
132,12,HARYANA,GURGAON,1210,86,4
133,12,HARYANA,HISAR,1215,80,9
134,12,HARYANA,JHAJJAR,1220,83,5
135,12,HARYANA,JIND,1214,77,7
136,12,HARYANA,KAITHAL,1204,73,6
137,12,HARYANA,KARNAL,1205,74,6
138,12,HARYANA,KURUKSHETRA,1203,72,5
139,12,HARYANA,MAHENDRAGARH,1212,84,5
140,12,HARYANA,MEWAT,1219,87,5
141,12,HARYANA,PALWAL,1221,89,4
142,12,HARYANA,PANCHKULA,1217,69,4
143,12,HARYANA,PANIPAT,1206,75,5
144,12,HARYANA,REWARI,1211,85,5
145,12,HARYANA,ROHTAK,1208,82,5
146,12,HARYANA,SIRSA,1216,79,7
147,12,HARYANA,SONIPAT,1207,76,7
148,12,HARYANA,YAMUNANAGAR,1202,71,6
149,13,HIMACHAL PRADESH,BILASPUR,1301,30,3
150,13,HIMACHAL PRADESH,CHAMBA,1302,23,7
151,13,HIMACHAL PRADESH,HAMIRPUR,1303,28,6
152,13,HIMACHAL PRADESH,KANGRA,1304,24,15
153,13,HIMACHAL PRADESH,KINNAUR,1305,34,3
154,13,HIMACHAL PRADESH,KULLU,1306,26,5
155,13,HIMACHAL PRADESH,LAHUL AND SPITI,1307,25,2
156,13,HIMACHAL PRADESH,MANDI,1308,27,10
157,13,HIMACHAL PRADESH,SHIMLA,1309,33,10
158,13,HIMACHAL PRADESH,SIRMAUR,1310,32,6
159,13,HIMACHAL PRADESH,SOLAN,1311,31,5
160,13,HIMACHAL PRADESH,UNA,1312,29,5
161,14,JAMMU AND KASHMIR,ANANTNAG,1406,14,8
162,14,JAMMU AND KASHMIR,BANDIPORe,1419,9,4
163,14,JAMMU AND KASHMIR,BARAMULLA,1402,8,12
164,14,JAMMU AND KASHMIR,BUDGAM,1404,2,8
165,14,JAMMU AND KASHMIR,DODA,1409,16,8
166,14,JAMMU AND KASHMIR,GANDERBAL,1420,11,4
167,14,JAMMU AND KASHMIR,JAMMU,1413,21,8
168,14,JAMMU AND KASHMIR,KARGIL,1408,4,9
169,14,JAMMU AND KASHMIR,KATHUA,1414,7,8
170,14,JAMMU AND KASHMIR,KISHTWAR,1415,18,8
171,14,JAMMU AND KASHMIR,KULGAM,1421,15,5
172,14,JAMMU AND KASHMIR,KUPWARA,1401,1,11
173,14,JAMMU AND KASHMIR,LEH,1407,3,8
174,14,JAMMU AND KASHMIR,PULWAMA,1405,12,5
175,14,JAMMU AND KASHMIR,Punch,1411,5,6
176,14,JAMMU AND KASHMIR,Rajouri,1412,6,8
