Unique_ID,state_crisil,dist_crisil,Crisil_Inclusix_Scores_16,Crisil_Inclusix_ranks_16,NIC_district_code,censuscode
122,Gujarat,Porbandar,59.7,254,1121,478
123,Gujarat,Rajkot,76.3,109,1102,476
124,Gujarat,Sabar Kantha,83.7,61,1109,472
125,Gujarat,Surat,63,225,1117,492
126,Gujarat,Surendranagar,51.4,323,1103,475
127,Gujarat,Tapi,23,636,1126,493
128,Gujarat,Vadodara,96.4,19,1115,486
129,Gujarat,Valsad,65,199,1118,491
130,Haryana,Ambala,92.3,24,1201,70
131,Haryana,Bhiwani,56.1,284,1213,81
132,Haryana,Faridabad,85.8,54,1209,88
133,Haryana,Fatehabad,63.8,213,1218,78
134,Haryana,GURGAON,89.5,37,1210,86
135,Haryana,Hisar,66,188,1215,80
136,Haryana,Jhajjar,63.7,217,1220,83
137,Haryana,Jind,63,223,1214,77
138,Haryana,Kaithal,64,212,1204,73
139,Haryana,Karnal,82,71,1205,74
140,Haryana,Kurukshetra,76.7,106,1203,72
141,Haryana,Mahendragarh,65.2,197,1212,84
142,Haryana,Mewat,20.6,648,1219,87
143,Haryana,Palwal,43.6,419,1221,89
144,Haryana,Panchkula,81.1,74,1217,69
145,Haryana,Panipat,67.1,186,1206,75
146,Haryana,Rewari,47.2,383,1211,85
147,Haryana,Rohtak,77.1,102,1208,82
148,Haryana,Sirsa,61.8,237,1216,79
149,Haryana,Sonipat,65.8,192,1207,76
150,Haryana,Yamunanagar,69.4,163,1202,71
151,Himachal Pradesh,Bilaspur,72.2,140,1301,30
152,Himachal Pradesh,Chamba,55.5,286,1302,23
153,Himachal Pradesh,Hamirpur,74.8,125,1303,28
154,Himachal Pradesh,Kangra,73.2,130,1304,24
155,Himachal Pradesh,Kinnaur,74.4,127,1305,34
156,Himachal Pradesh,Kulu,75.1,120,1306,26
157,Himachal Pradesh,Lahul & Spiti,65.8,191,1307,25
158,Himachal Pradesh,Mandi,71.1,146,,27
159,Himachal Pradesh,Simla,79.1,85,1309,33
160,Himachal Pradesh,Sirmaur,61.3,243,1310,32
161,Himachal Pradesh,Solan,82.9,66,1311,31
162,Himachal Pradesh,Una,72.3,139,1312,29
163,JAMMU AND KASHMIR,Anantnag,36.6,515,1406,14
164,JAMMU AND KASHMIR,BUDGAM,43.2,421,1404,2
165,JAMMU AND KASHMIR,BANDIPORE,29.6,582,1419,9
166,JAMMU AND KASHMIR,Baramulla,47.5,374,1402,8
167,JAMMU AND KASHMIR,Doda,41.6,446,1409,16
168,JAMMU AND KASHMIR,Ganderbal,40.3,462,1420,11
169,JAMMU AND KASHMIR,Jammu,79.4,81,1413,21
170,JAMMU AND KASHMIR,Kargil,41.9,442,1408,4
171,JAMMU AND KASHMIR,Kathua,60.3,251,1414,7
172,JAMMU AND KASHMIR,Kishtwar,36.7,514,1415,18
173,JAMMU AND KASHMIR,Kulgam,38.7,489,1421,15
174,JAMMU AND KASHMIR,Kupwara,29.9,580,1401,1
175,JAMMU AND KASHMIR,LEH,57.2,274,1407,3
176,JAMMU AND KASHMIR,Punch,30.6,569,1411,5
177,JAMMU AND KASHMIR,Pulwama,42.6,432,1405,12
178,JAMMU AND KASHMIR,Rajouri,42.3,436,1412,6
179,JAMMU AND KASHMIR,Ramban,31.2,565,1416,17
180,JAMMU AND KASHMIR,Reasi,38.2,494,1417,20
181,JAMMU AND KASHMIR,Samba,68.5,177,1418,22
182,JAMMU AND KASHMIR,Shopian,39.9,471,1422,13
183,JAMMU AND KASHMIR,Srinagar,56.4,281,1403,10
184,JAMMU AND KASHMIR,Udhampur,56.4,279,1410,19
185,Jharkhand,Bokaro,60.7,248,3420,355
186,Jharkhand,Chatra,29.6,583,3417,347
187,Jharkhand,Deoghar,43.1,423,3422,350
188,Jharkhand,Dhanbad,64.7,203,3421,354
189,Jharkhand,Dumka,41.6,447,3411,362
190,Jharkhand,Garhwa,29.3,586,3407,346
191,Jharkhand,Giridih,37.5,504,3419,349
192,Jharkhand,Godda,35.4,523,3415,351
193,Jharkhand,Gumla,43.1,424,3403,366
194,Jharkhand,HAZARIBAGH,55.3,288,3416,360
195,Jharkhand,Jamtara,35.2,527,3412,363
196,Jharkhand,Khunti,28.2,599,3424,365
197,Jharkhand,Koderma,52.5,309,3418,348
198,Jharkhand,Latehar,28.3,598,3406,359
