Unique_ID,state_crisil,dist_crisil,Crisil_Inclusix_Scores_16,Crisil_Inclusix_ranks_16,NIC_district_code,censuscode
523,Uttar Pradesh,Agra,61.6,240,3120,146
524,Uttar Pradesh,Aligarh,47.3,382,3118,143
525,Uttar Pradesh,Allahabad,50.8,331,3145,175
526,Uttar Pradesh,Ambedkar Nagar,40.6,455,3178,178
527,Uttar Pradesh,Amethi,29.3,587,3181,
528,Uttar Pradesh,Auraiya,35,530,3169,162
529,Uttar Pradesh,Azamgarh,41.6,448,3157,191
530,Uttar Pradesh,Baghpat,42.6,433,3165,139
531,Uttar Pradesh,Bahraich,29.6,584,3146,180
532,Uttar Pradesh,Ballia,47.3,379,3159,193
533,Uttar Pradesh,Balrampur,28.6,593,3175,182
534,Uttar Pradesh,Banda,39.8,475,3142,170
535,Uttar Pradesh,BARABANKI,37.4,506,3148,176
536,Uttar Pradesh,Bareilly,45.4,399,3125,150
537,Uttar Pradesh,Basti,44.4,414,3153,185
538,Uttar Pradesh,Bhim Nagar,25,626,,
539,Uttar Pradesh,Bijnor,42.4,435,3109,134
540,Uttar Pradesh,Budaun,31.5,563,3124,149
541,Uttar Pradesh,Bulandshahr,44.6,408,3117,142
542,Uttar Pradesh,Chandauli,39.2,484,3171,196
543,Uttar Pradesh,Chitrakoot,36.5,519,3177,171
544,Uttar Pradesh,Deoria,48.2,362,3155,190
545,Uttar Pradesh,Etah,38.4,492,3122,201
546,Uttar Pradesh,Etawah,42,439,3135,161
547,Uttar Pradesh,Faizabad,43,427,3149,177
548,Uttar Pradesh,Farrukhabad,36.9,513,3134,159
549,Uttar Pradesh,Fatehpur,38.3,493,3143,172
550,Uttar Pradesh,Firozabad,35.3,524,3121,147
551,Uttar Pradesh,Gautam Buddha Nagar,76,112,3164,141
552,Uttar Pradesh,Ghaziabad,78.2,92,3116,140
553,Uttar Pradesh,Ghazipur,38.8,488,3160,195
554,Uttar Pradesh,Gonda,33,546,3147,183
555,Uttar Pradesh,Gorakhpur,62.1,231,3154,188
556,Uttar Pradesh,Hamirpur-U,53.8,296,,
557,Uttar Pradesh,Hardoi,33.2,544,3130,155
558,Uttar Pradesh,Hathras,49.2,344,3166,
559,Uttar Pradesh,Jalaun,45.1,404,3138,165
560,Uttar Pradesh,Jaunpur,44.5,409,3158,194
561,Uttar Pradesh,Jhansi,51.4,324,3139,166
562,Uttar Pradesh,JYOTIBA PHOOLE NAGAR,46.6,387,3167,137
563,Uttar Pradesh,KANNAUJ,36,520,3168,160
564,Uttar Pradesh,Kanpur Dehat,64.4,204,3136,163
565,Uttar Pradesh,Kanpur Nagar,57.7,270,3137,164
566,Uttar Pradesh,Kanshiram Nagar,31.8,559,3180,202
567,Uttar Pradesh,Kaushambi,27.2,611,3170,174
568,Uttar Pradesh,Kheri,33.5,542,3128,153
569,Uttar Pradesh,Kushi Nagar,39.6,478,3172,189
570,Uttar Pradesh,Lalitpur,40.1,468,3140,167
571,Uttar Pradesh,Lucknow,77.3,99,3132,157
572,Uttar Pradesh,Maharajganj,32.1,554,3152,187
573,Uttar Pradesh,Mahoba,32,556,3179,169
574,Uttar Pradesh,Mainpuri,36.5,517,3123,148
575,Uttar Pradesh,Mathura,48.1,363,3119,145
576,Uttar Pradesh,Mau,32.6,551,3156,192
577,Uttar Pradesh,Meerut,64.2,208,3115,138
578,Uttar Pradesh,Mirzapur,45.3,400,3162,199
579,Uttar Pradesh,Moradabad,48,365,3110,135
580,Uttar Pradesh,Muzaffarnagar,47.5,373,3114,133
581,Uttar Pradesh,Panchsheel Nagar,30.2,577,,
582,Uttar Pradesh,Pilibhit,34.8,533,3126,151
583,Uttar Pradesh,Prabudh Nagar,25,625,,
584,Uttar Pradesh,Pratapgarh,39.3,483,3144,173
585,Uttar Pradesh,RAE BARELI,52.8,307,3133,158
586,Uttar Pradesh,Rampur,37,511,3111,136
587,Uttar Pradesh,Saharanpur,47.8,369,3112,132
588,Uttar Pradesh,SANT KABEER NAGAR,30.4,575,3174,186
589,Uttar Pradesh,Sant Ravidas Nagar,42.7,431,3173,198
590,Uttar Pradesh,Shahjahanpur,37.8,502,3127,152
591,Uttar Pradesh,Shravasti,25.5,622,3176,181
592,Uttar Pradesh,SIDDHARTH NAGAR,26,620,3151,184
593,Uttar Pradesh,Sitapur,32,555,3129,154
594,Uttar Pradesh,Sonbhadra,49.1,347,3163,200
595,Uttar Pradesh,Sultanpur,49.1,348,3150,179
596,Uttar Pradesh,Unnao,30,579,3131,156
597,Uttar Pradesh,Varanasi,70.1,156,3161,197
598,Uttarakhand,Almora,69.2,166,3507,64
599,Uttarakhand,Bageshwar,62.1,232,3512,63
600,Uttarakhand,Chamoli,60.5,250,3504,57
601,Uttarakhand,Champawat,68,179,3510,65
602,Uttarakhand,Dehradun,84,60,3502,60
603,Uttarakhand,Garhwal,65.7,193,,
604,Uttarakhand,Haridwar,65,198,3503,68
605,Uttarakhand,Nainital,76.7,104,3508,66
606,Uttarakhand,Pithoragarh,71.7,143,3511,62
607,Uttarakhand,RUDRA PRAYAG,52.4,313,3506,58
608,Uttarakhand,TEHRI GARWAL,59.3,256,3513,59
609,Uttarakhand,UDAM SINGH NAGAR,65.9,190,3509,67
610,Uttarakhand,Uttar Kashi,50.7,333,3501,56
611,West Bengal,Alipurduar,28.2,600,,
612,West Bengal,Bankura,46,391,3213,339
613,West Bengal,Barddhaman,63.5,218,3202,
614,West Bengal,Birbhum,52,316,3203,334
615,West Bengal,COOCHBEHAR,47.7,370,3208,329
616,West Bengal,DINAJPUR DAKSHIN,51,328,3217,331
617,West Bengal,DARJEELING(GTA),70.9,147,3219,327
618,West Bengal,Howrah,62,234,3205,341
619,West Bengal,HOOGHLY,60.6,249,3206,338
620,West Bengal,Jalpaiguri,68.9,173,3207,328
621,West Bengal,Kolkata,100,1,,
622,West Bengal,Maldah,40,469,3209,332
623,West Bengal,Murshidabad,40.4,460,3212,333
624,West Bengal,Nadia,54.4,290,3201,336
625,West Bengal,24 PARGANAS NORTH,58.4,265,3215,337
626,West Bengal,Paschim Medinipur,50,337,3210,344
627,West Bengal,Purba Medinipur,51.5,321,3211,345
628,West Bengal,PURULIA,32.9,548,3214,340
629,West Bengal,24 PARGANAS SOUTH,44.8,405,3216,343
630,West Bengal,DINAJPUR UTTAR,41.9,441,3218,330
631,Bihar,Gaya,37.3,508,507,236
632,Bihar,Gopalganj,41.7,444,511,217
633,Bihar,Jamui,34.6,535,550,238
634,Bihar,Jehanabad,39.8,474,506,239
635,Bihar,Kaimur,33,545,549,233
636,Bihar,Katihar,27.6,608,524,212
637,Bihar,Khagaria,32.8,549,525,223
638,Bihar,Kishanganj,36.6,516,542,210
639,Bihar,Lakhisarai,41,452,546,227
640,Bihar,Madhepura,27.7,607,522,213
641,Bihar,Madhubani,30.6,570,520,207
642,Bihar,Munger,39.7,477,526,226
643,Bihar,Muzaffarpur,48.8,353,515,216
644,Bihar,Nalanda,40.6,456,502,229
645,Bihar,Nawada,32.3,553,508,237
646,Bihar,Paschimi Champaran,29.2,591,512,203
647,Bihar,Patna,72.9,135,501,230
648,Bihar,Purbi Champaran,33.9,540,513,204
649,Bihar,Purnia,31.9,557,523,211
650,Bihar,Rohtas,42.8,429,504,234
651,Bihar,Saharsa,29.2,588,521,214
652,Bihar,Samastipur,40.4,459,518,221
653,Bihar,Saran,44.3,415,509,219
654,Bihar,Sheikhpura,34.8,532,547,228
655,Bihar,Sheohar,28,603,543,205
656,Bihar,Sitamarhi,24.9,627,514,206
657,Bihar,Siwan,39.1,485,510,218
658,Bihar,Supaul,26.9,614,544,208
659,Bihar,Vaishali,43,426,516,220
660,Chandigarh,Chandigarh,86.7,50,,
661,Chhattisgarh,Balod,37.9,501,3321,
662,Chhattisgarh,Balodabazar,27.6,610,3319,
663,Chhattisgarh,Balrampur,22,640,3327,
664,Chhattisgarh,Bastar,35.9,521,3311,414
665,Chhattisgarh,Bemetara,24.4,629,3322,
666,Chhattisgarh,Bijapur,20.9,647,3317,417
