statename,districtname,state_secc_code,dist_secc_code,TotPop,TotHH,atleast1dep,atleast1inc,Target_HHs,per_tgt_tot_HH,censuscode
KERALA,Kasaragod,32,1,1121976,232943,46764,507,47271,20.29,588
KERALA,Kozhikode,32,4,2357455,537969,122131,1106,123237,22.91,591
LAKSHADWEEP,Lakshadweep,31,1,64010,10929,1455,13,1468,13.43,
MADHYA PRADESH,Ashoknagar,23,42,647813,135299,68303,11879,80182,59.26,459
MADHYA PRADESH,East Nimar,23,49,1009446,211240,118982,4629,123611,58.52,440
MADHYA PRADESH,Narsimhapur,23,35,882456,212280,139426,7199,146625,69.07,452
MADHYA PRADESH,Singrauli,23,46,906506,199925,127758,15078,142836,71.44,463
MADHYA PRADESH,West Nimar,23,23,1657744,328941,218730,3771,222501,67.64,466
MAHARASHTRA,Ahmadnagar,27,26,3740254,763339,283147,4422,287569,37.67,522
MAHARASHTRA,Bid,27,27,2111335,460613,191696,5737,197433,42.86,523
MAHARASHTRA,Buldana,27,4,2057164,461842,241038,2654,243692,52.77,500
MAHARASHTRA,Gondiya,27,11,1166705,265214,157760,4681,162441,61.25,507
MAHARASHTRA,Raigarh,27,24,1983020,453135,102621,28472,131093,28.93,520
MANIPUR,ImphalEast,14,7,357112,71558,22874,62,22936,32.05,278
MANIPUR,ImphalWest,14,6,243297,52166,13916,35,13951,26.74,277
MEGHALAYA,Jaintia Hills,17,7,354632,66003,36619,18,36637,55.51,
MEGHALAYA,Ribhoi,17,5,241181,45228,29996,33,30029,66.39,297
NAGALAND,Dimapur ,13,5,199163,41147,14787,119,14906,36.23,265
NAGALAND,Peren,13,11,81278,15178,11515,13,11528,75.95,271
ODISHA,Anugul,21,15,1163561,280707,161069,1515,162584,57.92,384
ODISHA,Balangir,21,24,1544922,405981,309676,3718,313394,77.19,393
ODISHA,Baudh,21,22,420960,108931,76604,545,77149,70.82,391
ODISHA,Debagarh,21,4,300516,74644,51175,750,51925,69.56,373
ODISHA,Jajapur,21,13,1829881,409438,252340,4982,257322,62.85,382
ODISHA,Subarnapur,21,23,569438,147869,97598,2216,99814,67.50,392
PUDUCHERRY,Karaikal,34,4,106048,26351,9426,57,9483,35.99,637
PUDUCHERRY,Puducherry,34,2,369503,88898,30910,254,31164,35.06,635
PUNJAB,Firozpur,3,9,1442859,270011,101834,737,102571,37.99,43
PUNJAB,Sahibzada Ajit Singh Nagar,3,18,452150,85222,16665,138,16803,19.72,52
PUNJAB,Shahid Bhagat Singh Nagar,3,5,491788,103553,15689,356,16045,15.49,
PUNJAB,Tarn Taran,3,16,922008,165688,41442,1126,42568,25.69,50
RAJASTHAN,Chittaurgarh,8,28,1298067,277402,140923,1325,142248,51.28,126
RAJASTHAN,Dhaulpur,8,8,1003194,173796,99349,1028,100377,57.76,106
RAJASTHAN,Ganganagar,8,1,1438661,287488,145134,651,145785,50.71,
RAJASTHAN,Jalor,8,18,1785394,324662,161498,2669,164167,50.57,116
RAJASTHAN,Jhunjhunun,8,5,1825302,317727,77008,1023,78031,24.56,103
SIKKIM,North District,11,1,30971,6550,3566,15,3581,54.67,241
TAMIL NADU,Kancheepuram,33,3,1712393,432465,173701,5830,179531,41.51,604
TAMIL NADU,Sivaganga,33,21,955798,240032,113991,138,114129,47.55,622
TAMIL NADU,Thiruvallur,33,1,1444175,368152,156716,6223,162939,44.26,602
TAMIL NADU,Thiruvarur,33,18,998920,258848,155180,105,155285,59.99,619
TAMIL NADU,Tiruppur,33,32,1083257,318659,125728,68,125796,39.48,633
TAMIL NADU,Viluppuram,33,6,2948961,671784,342610,1652,344262,51.25,607
TELANGANA,Rangareddy,36,6,2227687,502832,147389,970,148359,29.50,537
UTTAR PRADESH,Bara Banki,9,45,3041968,533550,269216,1405,270621,50.72,176
UTTAR PRADESH,Jyotiba Phule Nagar,9,6,1332267,228537,38004,190,38194,16.71,137
UTTAR PRADESH,Kushinagar,9,58,3603381,574969,253719,1371,255090,44.37,189
UTTAR PRADESH,Mahrajganj,9,56,2706113,407828,169892,1101,170993,41.93,187
UTTAR PRADESH,Sant Kabir Nagar,9,55,1709379,243670,102380,411,102791,42.18,186
UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),9,67,1519591,191630,80970,867,81837,42.71,198
UTTAR PRADESH,Shrawasti,9,50,1039779,179481,89110,491,89601,49.92,181
UTTAR PRADESH,Siddharthnagar,9,53,2547223,382311,145102,1230,146332,38.28,184
UTTARAKHAND,Garhwal,5,6,579152,140122,33510,504,34014,24.27,
UTTARAKHAND,Hardwar,5,13,1347307,231792,91393,859,92252,39.80,68
UTTARAKHAND,Rudraprayag,5,3,228125,48830,7794,19,7813,16.00,58
UTTARAKHAND,TehriGarhwal,5,4,537113,119766,31548,284,31832,26.58,59
UTTARAKHAND,UdhamSinghNagar,5,12,1086897,206204,75284,847,76131,36.92,67
UTTARAKHAND,Uttarkashi,5,1,277025,64836,24019,111,24130,37.22,56
WEST BENGAL,Barddhaman,19,9,5503907,1250095,757529,13792,771321,61.70,
WEST BENGAL,DakshinDinajpur,19,5,1482142,349140,231494,3727,235221,67.37,331
WEST BENGAL,Darjiling,19,1,1309512,279770,151849,621,152470,54.50,327
WEST BENGAL,Haora,19,15,3243000,708849,387040,5435,392475,55.37,341
WEST BENGAL,Hugli,19,12,3996736,920643,480068,7567,487635,52.97,338
WEST BENGAL,KochBihar,19,3,2670225,635046,438063,7180,445243,70.11,329
WEST BENGAL,NorthTwentyFourParganas,19,11,5026419,1183056,767011,15349,782360,66.13,337
WEST BENGAL,PaschimMedinipur,19,18,5335598,1192518,659242,16468,675710,56.66,344
WEST BENGAL,PurbaMedinipur,19,19,4763259,1059248,601507,14912,616419,58.19,345
WEST BENGAL,Puruliya,19,14,2780989,536972,348801,6312,355113,66.13,340
WEST BENGAL,SouthTwentyFourParganas,19,17,6877633,1523398,1052524,16789,1069313,70.19,343
WEST BENGAL,UttarDinajpur,19,4,2724766,543415,368611,4623,373234,68.68,330
