statename,districtname,state_secc_code,dist_secc_code,TotPop,TotHH,atleast1dep,atleast1inc,Target_HHs,per_tgt_tot_HH,censuscode
UTTAR PRADESH,Rae Bareli,9,27,3175222,569800,286101,1804,287905,50.53,158
UTTAR PRADESH,Rampur,9,5,1745697,299292,68462,50,68512,22.89,136
UTTAR PRADESH,Saharanpur,9,1,2383346,418340,84297,212,84509,20.20,132
UTTAR PRADESH,Shahjahanpur,9,21,2376415,405601,209447,537,209984,51.77,152
UTTAR PRADESH,Sitapur,9,23,4023932,714977,423069,1552,424621,59.39,154
UTTAR PRADESH,Sonbhadra,9,69,1662558,288433,156501,8178,164679,57.09,200
UTTAR PRADESH,Sultanpur,9,48,3299833,563089,245745,1293,247038,43.87,179
UTTAR PRADESH,Unnao,9,25,2683267,481545,238973,2761,241734,50.20,156
UTTAR PRADESH,Varanasi,9,66,2470821,343657,118324,3443,121767,35.43,197
UTTARAKHAND,Almora,5,9,560056,125275,34443,554,34997,27.94,64
UTTARAKHAND,Bageshwar,5,8,241413,53420,14438,35,14473,27.09,63
UTTARAKHAND,Chamoli,5,2,311057,70323,15653,247,15900,22.61,57
UTTARAKHAND,Champawat,5,10,223285,44150,12783,94,12877,29.17,65
UTTARAKHAND,Dehradun,5,5,847362,165649,36433,806,37239,22.48,60
UTTARAKHAND,Nainital,5,11,589240,117469,25069,204,25273,21.51,66
UTTARAKHAND,Pithoragarh,5,7,403713,91906,27521,162,27683,30.12,62
WEST BENGAL,Bankura,19,13,3423296,724878,453539,8757,462296,63.78,339
WEST BENGAL,Birbhum,19,8,3221127,758961,539344,14907,554251,73.03,334
WEST BENGAL,Jalpaiguri,19,2,3400984,761422,534009,4499,538508,70.72,328
WEST BENGAL,Maldah,19,6,3820114,802673,582575,11909,594484,74.06,332
WEST BENGAL,Murshidabad,19,7,6801254,1490524,1012374,39342,1051716,70.56,333
WEST BENGAL,Nadia,19,10,4387294,1036142,690686,11020,701706,67.72,336
ANDAMAN AND NICOBAR,Nicobars,35,1,13117,5384,631,1,632,11.74,638
ANDAMAN AND NICOBAR,North  & Middle Andaman,35,2,26990,13845,933,7,940,6.79,639
ANDAMAN AND NICOBAR,South Andaman,35,3,32158,20739,282,0,282,1.36,640
ANDHRA PRADESH,EastGodavari,28,14,4140064,1176639,750290,27986,778276,66.14,545
ANDHRA PRADESH,SriPottiSriramuluNellore,28,19,2197217,590457,342293,3123,345416,58.50,550
ANDHRA PRADESH,Visakhapatnam,28,13,2379806,602256,358012,959,358971,59.60,544
ANDHRA PRADESH,WestGodavari,28,15,3140184,881322,500577,4656,505233,57.33,546
ANDHRA PRADESH,YSR,28,20,2011408,516185,168409,404,168813,32.70,551
ARUNACHAL PRADESH,Dibang Valley,12,13,4395,1241,514,2,516,41.58,
ASSAM,DimaHasao,18,16,161091,31408,22682,5,22687,72.23,315
ASSAM,KamrupMetropolitan,18,23,265192,58277,22444,105,22549,38.69,322
ASSAM,KarbiAnglong,18,15,875913,154898,97801,185,97986,63.26,314
BIHAR,Aurangabad,10,33,2391102,366898,194895,669,195564,53.30,235
BIHAR,Kaimur Bhabua,10,31,1628597,241516,123911,462,124373,51.50,233
BIHAR,Purba Champaran,10,2,4885825,917790,555062,1594,556656,60.65,204
CHHATTISGARH,Dakshin Bastar Dantewada,22,17,404401,98185,81399,426,81825,83.34,
CHHATTISGARH,Dhamtari ,22,13,655561,144908,84523,3423,87946,60.69,412
CHHATTISGARH,Janjgir - Champa,22,6,1453043,341618,246192,4767,250959,73.46,405
CHHATTISGARH,Jashpur ,22,3,802755,187698,136360,11917,148277,79.00,402
CHHATTISGARH,Kabeerdham,22,8,712244,162182,105854,9741,115595,71.27,
CHHATTISGARH,Korba ,22,5,774606,189855,149362,5860,155222,81.76,404
CHHATTISGARH,Koriya,22,1,436856,110427,75730,6462,82192,74.43,400
CHHATTISGARH,Rajnandgaon,22,9,1268333,265975,166892,2572,169464,63.71,408
CHHATTISGARH,Uttar Bastar Kanker,22,14,653162,145079,103438,473,103911,71.62,
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,26,1,214842,45352,25378,298,25676,56.61,496
GOA,NorthGoa,30,1,601934,140451,14627,74,14701,10.47,585
GOA,SouthGoa,30,2,341196,80280,9156,61,9217,11.48,586
GUJARAT,The Dangs,24,22,239074,44869,34455,474,34929,77.85,
HIMACHAL PRADESH,LahulSpiti,2,3,29332,6177,2230,53,2283,36.96,25
JAMMU AND KASHMIR,Badgam,1,2,670582,97773,29555,853,30408,31.10,2
JAMMU AND KASHMIR,Baramula,1,8,753104,112546,33663,683,34346,30.52,8
JAMMU AND KASHMIR,Leh(Ladakh),1,3,91540,17723,3704,37,3741,21.11,3
JAMMU AND KASHMIR,Shupiyan,1,13,243822,42691,14499,334,14833,34.75,13
JHARKHAND,Kodarma,20,3,628340,96609,39677,382,40059,41.47,348
JHARKHAND,Pashchimi Singhbhum,20,23,1260392,247857,126411,499,126910,51.20,368
JHARKHAND,Purbi Singhbhum,20,12,1274198,273216,134373,2722,137095,50.18,357
JHARKHAND,Sahibganj,20,7,1092746,205762,150166,4407,154573,75.12,352
JHARKHAND,Saraikela-Kharsawan,20,24,817220,167827,72779,411,73190,43.61,369
KARNATAKA,Bagalkot,29,2,1248313,240555,87638,677,88315,36.71,556
KARNATAKA,Bangalore,29,18,1107019,269172,91626,633,92259,34.28,583
KARNATAKA,Chamarajanagar,29,24,862383,203466,107652,2142,109794,53.96,578
KARNATAKA,Dharwad,29,8,801988,160538,58849,221,59070,36.80,562
KARNATAKA,Gulbarga(Kalaburagi),29,25,1712128,314651,120193,2372,122565,38.95,579
